account 3:
Balance: 4633333.83
Balance: 4524487.51
Balance: 4465698.97
Balance: 4449304.02
Balance: 4417629.75
Balance: 4356548.38
Balance: 4325695.61
Balance: 4288506.35
Balance: 4189082.09
Balance: 4155523.82
Balance: 4125637.42
Balance: 4091263.82
Balance: 4047668.58
Balance: 3971955.93
Balance: 3960604.30
Balance: 3917722.04
Balance: 3908792.90
Balance: 3889910.50
